Electric blue,183,51,100,125,249,255,#7DF9FF
Electric crimson,345,100,100,255,0,63,#FF003F
Electric cyan,180,100,100,0,255,255,#00FFFF
Electric green,120,100,100,0,255,0,#00FF00
Electric indigo,266,100,100,111,0,255,#6F00FF
Electric lavender,290,27,100,244,187,255,#F4BBFF
Electric lime,72,100,100,204,255,0,#CCFF00
Electric purple,285,100,100,191,0,255,#BF00FF
Electric ultramarine,255,100,100,63,0,255,#3F00FF
Electric violet,274,100,100,143,0,255,#8F00FF
Electric yellow,60,80,100,255,255,51,#FFFF33
Emerald,140,60,78,80,200,120,#50C878
Eminence,284,63,51,108,48,130,#6C3082
English green,162,65,30,27,77,62,#1B4D3E
English lavender,338,27,71,180,131,149,#B48395
English red,356,56,67,171,75,82,#AB4B52
English violet,289,35,36,86,60,92,#563C5C
Eton blue,134,25,78,150,200,162,#96C8A2
Eucalyptus,161,68,84,68,215,168,#44D7A8
Fallow,33,45,76,193,154,107,#C19A6B
Falu red,0,81,50,128,24,24,#801818
Fandango,320,72,71,181,51,137,#B53389
Fandango pink,338,63,87,222,82,133,#DE5285
Fashion fuchsia,320,100,96,244,0,161,#F400A1
Fawn,30,51,90,229,170,112,#E5AA70
Feldgrau,143,17,36,77,93,83,#4D5D53
Feldspar,28,30,99,253,213,177,#FDD5B1
Fern green,106,45,47,79,121,66,#4F7942
Ferrari Red,9,100,100,255,40,0,#FF2800
Field drab,42,72,42,108,84,30,#6C541E
Fiery Rose,350,67,100,255,84,112,#FF5470
Firebrick,0,81,70,178,34,34,#B22222
Fire engine red,357,84,81,206,32,41,#CE2029
Flame,17,85,89,226,88,34,#E25822
Flamingo pink,344,44,99,252,142,172,#FC8EAC
Flattery,28,67,42,107,68,35,#6B4423
Flavescent,52,43,97,247,233,142,#F7E98E
Flax,50,45,93,238,220,130,#EEDC82
Flirt,320,100,64,162,0,109,#A2006D
Floral white,40,6,100,255,250,240,#FFFAF0
Fluorescent orange,45,100,100,255,191,0,#FFBF00
Fluorescent pink,328,92,100,255,20,147,#FF1493
Fluorescent yellow,72,100,100,204,255,0,#CCFF00
Folly,341,100,100,255,0,79,#FF004F
Forest green (traditional),149,99,27,1,68,33,#014421
Forest green (web),120,76,55,34,139,34,#228B22
French beige,26,45,65,166,123,91,#A67B5B
French bistre,34,42,52,133,109,77,#856D4D
French blue,203,100,73,0,114,187,#0072BB
French fuchsia,334,75,99,253,63,146,#FD3F92
French lilac,290,32,56,134,96,142,#86608E
French lime,89,78,99,158,253,56,#9EFD38
French mauve,300,46,83,212,115,212,#D473D4
French pink,339,57,99,253,108,158,#FD6C9E
French plum,325,84,51,129,20,83,#811453
French puce,11,88,31,78,22,9,#4E1609
French raspberry,349,78,78,199,44,72,#C72C48
French rose,338,70,96,246,74,138,#F64A8A
French sky blue,212,53,100,119,181,254,#77B5FE
French violet,279,97,81,136,6,206,#8806CE
French wine,344,83,67,172,30,68,#AC1E44
Fresh Air,196,35,100,166,231,255,#A6E7FF
Frostbite,322,77,91,233,54,167,#E936A7
Fuchsia,300,100,100,255,0,255,#FF00FF
Fuchsia (Crayola),300,56,76,193,84,193,#C154C1
Fuchsia pink,300,53,100,255,119,255,#FF77FF
Fuchsia purple,333,72,80,204,57,123,#CC397B
Fuchsia rose,337,66,78,199,67,117,#C74375
Fulvous,35,100,89,228,132,0,#E48400
Fuzzy Wuzzy,20,77,53,135,66,31,#87421F
Gainsboro,0,0,86,220,220,220,#DCDCDC
Gamboge,39,93,89,228,155,15,#E49B0F
Gamboge orange (brown),40,100,60,152,102,0,#996600
Gargoyle Gas,50,73,100,255,223,70,#FFDF46
Generic viridian,168,100,50,0,127,102,#007F66
Ghost white,240,3,100,248,248,255,#F8F8FF
Giant's Club,6,53,69,176,92,82,#B05C52
Giants orange,16,89,100,254,90,29,#FE5A1D
